,Player,Comb,Asst,Solo,Sck
18,Osa Odighizuwa,36,15,15,2.0
19,Monty Rice,36,19,10,0.0
20,Dawuane Smoot,36,14,20,6.0
21,Justin Strnad,36,13,21,0.0
22,Fletcher Cox,35,10,17,3.5
23,Carlos Dunlap,35,11,19,8.5
24,John Franklin-Myers,35,18,14,6.0
0,Richie Grant,35,7,23,0.0
1,A.J. Klein,35,6,22,0.0
2,Dallin Leavitt,35,18,15,0.0
3,Blake Lynch,35,12,21,2.0
4,Bryan Mone,35,20,13,1.5
5,Levi Onwuzurike,35,20,11,1.0
6,Tavon Young,35,5,29,2.0
7,Mykal Walker,35,18,14,0.0
8,Brandon Williams,35,20,12,0.0
9,Julian Blackmon,34,7,27,0.0
10,Morgan Fox,34,18,14,1.5
11,Trey Hendrickson,34,13,21,14.0
12,Justin Houston,34,15,16,4.5
13,Chris Jackson,34,5,25,0.0
14,Jerry Jacobs,34,4,27,0.0
15,David Onyemata,34,22,10,2.0
16,Shamar Stephen,34,22,10,0.0
17,Solomon Thomas,34,17,15,3.5
18,Jonathan Greenard,33,10,21,8.0
19,Kerry Hyder,33,13,16,1.5
20,Malik McDowell,33,14,15,3.0
21,Adetokunbo Ogundeji,33,15,17,1.0
22,Odafe Oweh,33,10,18,5.0
23,Mike Purcell,33,16,13,0.0
24,Vita Vea,33,11,20,4.0
0,Chauncey Golston,32,18,12,1.0
1,Vernon Hargreaves III,32,11,18,0.0
2,Talanoa Hufanga,32,8,20,0.0
3,A.J. Johnson,32,12,18,2.0
4,Kwity Paye,32,16,12,4.0
5,Sheldon Rankins,32,18,12,3.0
6,Jihad Ward,32,22,10,2.0
7,Carlos Watkins,32,15,14,1.0
8,Denico Autry,31,6,24,9.0
9,Austin Bryant,31,10,18,4.5
10,K'Lavon Chaisson,31,11,18,1.0
11,Dre'Mont Jones,31,13,17,5.5
12,Tyler Lancaster,31,16,10,0.0
13,Kenneth Murray,31,14,14,0.0
14,Del'Shawn Phillips,31,20,11,1.0
15,Jason Pierre-Paul,31,11,19,2.5
16,Danny Shelton,31,19,11,0.5
17,E.J. Speed,31,8,20,0.0
18,Chandon Sullivan,31,6,21,0.0
19,DeMarcus Walker,31,10,17,2.0
20,Rock Ya-Sin,31,4,25,0.0
21,Joe Bachie,30,12,16,0.0
22,Zack Baun,30,8,22,0.0
23,Jamie Collins,30,12,15,1.0
24,Tyeler Davison,30,20,8,0.0
0,Dontae Johnson,30,10,18,0.0
1,Roy Lopez,30,10,18,1.0
2,James Lynch,30,12,15,1.0
3,Benson Mayowa,30,15,10,1.0
4,Shaquille Quarterman,30,14,14,0.0
5,Bravvion Roy,30,17,6,0.0
6,James Smith-Williams,30,19,9,2.5
7,Milton Williams,30,15,13,2.0
8,Mario Addison,29,9,17,7.0
9,Bryce Callahan,29,4,24,1.0
10,Chris Claybrooks,29,12,16,0.0
11,Maliek Collins,29,11,15,2.5
12,Donte' Deayon,29,5,20,0.0
13,Demetrius Flannigan-Fowles,29,16,12,0.0
14,Darnay Holmes,29,8,18,0.0
15,Naquan Jones,29,11,12,2.5
16,Kevin King,29,8,21,0.0
17,Nevin Lawson,29,8,17,0.0
18,Benardrick McKinney,29,12,11,0.0
19,Jabrill Peppers,29,10,19,1.0
20,Jeremy Reaves,29,9,17,0.0
21,Joe Tryon-Shoyinka,29,8,18,4.0
22,Tershawn Wharton,29,16,12,2.0
23,Donovan Wilson,29,12,17,0.0
24,A.J. Bouye,28,5,21,0.0
0,Camryn Bynum,28,8,20,1.0
1,Raekwon Davis,28,16,10,0.5
2,Akeem Davis-Gaither,28,7,19,0.0
3,Pierre Desir,28,2,24,0.0
4,Yetur Gross-Matos,28,10,15,3.5
5,David Mayo,28,8,19,0.0
6,Yannick Ngakoue,28,11,14,10.0
7,Nathan Shepherd,28,11,12,0.0
8,Caden Sterns,28,6,22,2.0
9,Josh Woods,28,7,17,0.0
10,Ronald Blair,27,15,7,1.0
11,Justin Coleman,27,7,19,0.0
12,Michael Dogbe,27,13,12,1.0
13,Adam Gotsis,27,7,19,3.0
14,Darren Hall,27,6,21,1.0
15,Clay Johnston,27,14,12,0.0
16,Chris Jones,27,9,17,9.0
17,Julian Okwara,27,9,15,5.0
18,Darius Philon,27,8,16,2.0
19,Kentavius Street,27,12,14,3.0
20,Ndamukong Suh,27,12,14,6.0
21,Daniel Thomas,27,10,14,0.0
22,Casey Toohill,27,11,12,1.0
23,Nick Williams,27,13,11,0.5
24,Kris Boyd,26,5,19,0.0
0,Andre Cisco,26,7,18,0.0
1,Michael Danna,26,15,10,3.0
2,Jordan Elliott,26,16,7,0.5
3,Amen Ogbongbemiga,26,9,14,1.0
4,Duke Riley,26,11,11,0.0
5,Christian Ringo,26,14,11,0.0
6,Aaron Robinson,26,10,14,0.0
7,Benjamin St-Juste,26,6,20,0.0
8,Chase Young,26,11,10,1.5
9,Zaven Collins,25,12,11,0.0
10,Jarrad Davis,25,7,15,0.0
11,Carl Granderson,25,14,10,3.0
12,Malik Harrison,25,11,13,0.0
13,Akiem Hicks,25,6,17,3.5
14,Melvin Ingram,25,13,7,2.0
