,Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
23,Darrell Daniels,1,0,0,0,0,0,0,0.0,0,1,4
24,Frank Darby,1,14,0,0,0,14,1,100.0,0,11,4
0,Davion Davis,1,17,0,0,0,17,1,100.0,0,13,3
1,Wayne Gallman,1,21,0,1,0,21,1,100.0,0,20,3
2,Marvin Hall,1,10,0,0,0,10,1,100.0,0,5,1
3,Taylor Heinicke,1,-2,0,0,0,-2,0,0.0,0,2,1
4,Daniel Helm,1,-1,0,0,0,0,0,0.0,0,2,2
5,Kylin Hill,1,5,0,0,0,5,0,0.0,0,7,2
6,Amani Hooker,1,6,0,0,0,6,1,100.0,0,2,1
7,Brycen Hopkins,1,9,0,0,0,9,1,100.0,0,6,1
8,Andy Isabella,1,13,0,0,0,13,1,100.0,0,7,1
9,Lane Johnson,1,5,1,0,0,5,1,100.0,0,0,1
10,Daniel Jones,1,16,0,0,0,16,1,100.0,0,3,1
11,Tommylee Lewis,1,7,0,0,0,7,1,100.0,0,11,2
12,Drew Lock,1,1,0,0,0,1,0,0.0,0,6,1
13,Hunter Long,1,8,0,0,0,8,0,0.0,0,4,3
14,Conor McDermott,1,1,1,0,0,1,1,100.0,0,0,1
15,Anthony McFarland,1,11,0,0,0,11,1,100.0,0,11,1
16,Kirk Merritt,1,13,0,0,0,13,1,100.0,0,0,3
17,Johnny Mundt,1,9,0,0,0,9,1,100.0,0,2,1
18,Ryan Nall,1,4,0,0,0,4,0,0.0,0,0,1
19,Devine Ozigbo,1,7,0,0,0,7,1,100.0,0,3,1
20,Danny Pinter,1,2,1,0,0,2,1,100.0,0,0,1
21,Bobby Price,1,17,0,0,0,17,1,100.0,0,8,1
22,Mike Remmers,1,-2,0,0,0,-2,0,0.0,0,-2,1
23,Andre Roberts,1,35,0,1,0,35,1,100.0,0,16,2
24,Aaron Rodgers,1,-4,0,0,0,-4,0,0.0,0,0,1
0,Larry Rountree III,1,-1,0,0,0,0,0,0.0,0,0,2
1,Diontae Spencer,1,-3,0,0,0,0,0,0.0,0,0,4
2,Terence Steele,1,1,1,0,0,1,1,100.0,0,0,1
3,Andrew Thomas,1,2,1,0,0,2,1,100.0,0,0,1
4,Eric Tomlinson,1,7,0,0,0,7,0,0.0,0,4,1
5,Kevin White,1,38,0,1,0,38,1,100.0,0,9,5
6,Christian Wilkins,1,1,1,0,0,1,1,100.0,0,0,1
7,Trayveon Williams,1,4,0,0,0,4,0,0.0,0,11,2
8,Seth Williams,1,34,0,1,0,34,1,100.0,0,4,1
9,Easop Winston,1,5,0,0,0,5,0,0.0,0,9,1
10,Deon Yelder,1,0,0,0,0,0,0,0.0,0,2,1
11,Rodney Adams,0,0,0,0,0,0,0,0.0,0,0,1
12,Josh Allen,0,0,0,0,0,0,0,0.0,0,0,1
13,Geronimo Allison,0,0,0,0,0,0,0,0.0,0,0,2
