,concat_index,Player,Comb,Asst,Solo,Sck,season_year
493,18,Darius Philon,27,8,16,2.0,2021
494,19,Kentavius Street,27,12,14,3.0,2021
495,20,Ndamukong Suh,27,12,14,6.0,2021
496,21,Daniel Thomas,27,10,14,0.0,2021
497,22,Casey Toohill,27,11,12,1.0,2021
498,23,Nick Williams,27,13,11,0.5,2021
499,24,Kris Boyd,26,5,19,0.0,2021
500,0,Andre Cisco,26,7,18,0.0,2021
501,1,Michael Danna,26,15,10,3.0,2021
502,2,Jordan Elliott,26,16,7,0.5,2021
503,3,Amen Ogbongbemiga,26,9,14,1.0,2021
504,4,Duke Riley,26,11,11,0.0,2021
505,5,Christian Ringo,26,14,11,0.0,2021
506,6,Aaron Robinson,26,10,14,0.0,2021
507,7,Benjamin St-Juste,26,6,20,0.0,2021
508,8,Chase Young,26,11,10,1.5,2021
509,9,Zaven Collins,25,12,11,0.0,2021
510,10,Jarrad Davis,25,7,15,0.0,2021
511,11,Carl Granderson,25,14,10,3.0,2021
512,12,Malik Harrison,25,11,13,0.0,2021
513,13,Akiem Hicks,25,6,17,3.5,2021
514,14,Melvin Ingram,25,13,7,2.0,2021
515,15,Malik Jackson,25,18,6,0.5,2021
516,16,Kevon Seymour,25,8,15,1.0,2021
517,17,Andrew Adams,24,8,15,0.0,2021
518,18,Trey Flowers,24,9,12,1.5,2021
519,19,Sam Franklin,24,5,13,0.0,2021
520,20,Jaylinn Hawkins,24,11,12,0.0,2021
521,21,Christian Jones,24,11,10,0.0,2021
522,22,Devon Kennard,24,9,12,0.0,2021
523,23,Corey Peters,24,14,8,0.0,2021
524,24,Montez Sweat,24,11,12,5.0,2021
525,0,Khyiris Tonga,24,14,10,0.0,2021
526,1,Shaun Bradley,23,8,14,0.0,2021
527,2,Artie Burns,23,4,17,0.0,2021
528,3,Juston Burris,23,6,16,0.0,2021
529,4,T.J. Carrie,23,2,18,0.0,2021
530,5,DeShon Elliott,23,4,18,1.0,2021
531,6,Dennis Gardeck,23,9,14,0.0,2021
532,7,Jaleel Johnson,23,12,9,0.0,2021
533,8,Kingsley Keke,23,13,7,2.5,2021
534,9,Shaq Lawson,23,8,11,1.0,2021
535,10,Isaiahh Loudermilk,23,7,12,1.0,2021
536,11,Jake Martin,23,12,7,4.0,2021
537,12,Blake Martinez,23,12,11,0.0,2021
