,concat_index,Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,season_year
333,3,David Bell,12.0,1,12,0,0,0,12,0,0,2022
334,4,Jody Fortson,12.0,1,12,0,0,0,12,0,1,2022
335,5,Demetric Felton,11.0,1,11,0,0,0,11,0,0,2022
336,6,Eric Saubert,10.5,2,21,0,0,0,15,0,0,2022
337,7,Quez Watkins,10.2,5,51,0,0,0,17,0,0,2022
338,8,Alec Ingold,10.0,2,20,0,0,0,12,0,0,2022
339,9,Benny Snell,10.0,3,30,0,0,0,15,0,0,2022
340,10,Tyrie Cleveland,9.0,2,18,0,0,0,10,0,0,2022
341,11,Elijah Moore,9.0,1,9,0,0,0,9,0,0,2022
342,12,Tommy Tremble,8.0,1,8,0,0,0,8,0,1,2022
343,13,Trent Taylor,7.5,2,15,0,0,0,9,0,0,2022
344,14,Tyler Higbee,7.0,1,7,0,0,0,7,0,0,2022
345,15,Ko Kieft,7.0,1,7,0,0,0,7,0,0,2022
346,16,Stephen Sullivan,5.0,1,5,0,0,0,5,0,0,2022
347,17,Mecole Hardman,4.0,1,4,0,0,0,4,0,0,2022
348,18,Taiwan Jones,2.0,1,2,0,0,0,2,0,0,2022
349,19,Corey Ballentine,0.0,1,0,0,0,0,0,0,0,2022
350,20,Josiah Deguara,0.0,1,0,0,0,0,0,0,0,2022
351,21,Cam Lewis,0.0,1,0,0,0,0,0,0,0,2022
352,22,C.J. Moore,0.0,0,0,0,0,0,0,0,1,2022
353,23,Johnny Mundt,0.0,1,0,0,0,0,0,0,0,2022
354,24,James Pierre,0.0,1,0,0,0,0,0,0,1,2022
355,0,Kevin Rader,0.0,0,0,0,0,0,0,0,0,2022
356,1,,0.0,0,0,0,0,0,0,0,0,2022
357,2,,0.0,0,0,0,0,0,0,0,0,2022
358,3,,0.0,0,0,0,0,0,0,0,0,2022
359,4,,0.0,0,0,0,0,0,0,0,0,2022
360,5,,0.0,0,0,0,0,0,0,0,0,2022
361,6,,0.0,0,0,0,0,0,0,0,0,2022
362,7,,0.0,0,0,0,0,0,0,0,0,2022
363,8,,0.0,0,0,0,0,0,0,0,0,2022
364,9,,0.0,0,0,0,0,0,0,0,0,2022
365,10,,0.0,0,0,0,0,0,0,0,0,2022
366,11,,0.0,0,0,0,0,0,0,0,0,2022
367,12,,0.0,0,0,0,0,0,0,0,0,2022
368,13,,0.0,0,0,0,0,0,0,0,0,2022
369,14,,0.0,0,0,0,0,0,0,0,0,2022
370,15,,0.0,0,0,0,0,0,0,0,0,2022
371,16,,0.0,0,0,0,0,0,0,0,0,2022
372,17,,0.0,0,0,0,0,0,0,0,0,2022
373,18,,0.0,0,0,0,0,0,0,0,0,2022
374,19,,0.0,0,0,0,0,0,0,0,0,2022
375,20,,0.0,0,0,0,0,0,0,0,0,2022
376,21,,0.0,0,0,0,0,0,0,0,0,2022
377,22,,0.0,0,0,0,0,0,0,0,0,2022
378,23,,0.0,0,0,0,0,0,0,0,0,2022
379,24,,0.0,0,0,0,0,0,0,0,0,2022
380,0,,0.0,0,0,0,0,0,0,0,0,2022
381,1,,0.0,0,0,0,0,0,0,0,0,2022
382,2,,0.0,0,0,0,0,0,0,0,0,2022
383,3,,0.0,0,0,0,0,0,0,0,0,2022
384,4,,0.0,0,0,0,0,0,0,0,0,2022
385,5,,0.0,0,0,0,0,0,0,0,0,2022
386,6,,0.0,0,0,0,0,0,0,0,0,2022
387,7,,0.0,0,0,0,0,0,0,0,0,2022
